contact_age|Freq|work|school|community|household|pt_sum|ref_age|ref_id
30|500|0|0|7|2|9|15|47
15|500|0|0|9|1|10|15|48
30|500|0|0|5|2|7|15|48
15|500|0|0|8|1|9|15|49
30|500|0|0|6|2|8|15|49
15|500|0|0|7|1|8|15|50
30|500|0|0|7|2|9|15|50
15|500|0|0|3|1|4|15|51
30|500|0|0|11|2|13|15|51
15|500|0|0|7|1|8|15|52
30|500|0|0|7|2|9|15|52
15|500|0|0|9|1|10|15|53
30|500|0|0|5|2|7|15|53
15|500|0|0|9|1|10|15|54
30|500|0|0|5|2|7|15|54
15|500|0|0|7|1|8|15|55
30|500|0|0|7|2|9|15|55
15|500|0|0|7|1|8|15|56
30|500|0|0|7|2|9|15|56
15|500|0|0|9|1|10|15|57
30|500|0|0|5|2|7|15|57
15|500|0|0|10|1|11|15|58
30|500|0|0|4|2|6|15|58
15|500|0|0|6|1|7|15|59
30|500|0|0|8|2|10|15|59
15|500|0|0|6|1|7|15|60
30|500|0|0|8|2|10|15|60
15|500|0|0|10|1|11|15|61
30|500|0|0|4|2|6|15|61
15|500|0|0|7|1|8|15|62
30|500|0|0|7|2|9|15|62
15|500|0|0|8|1|9|15|63
30|500|0|0|6|2|8|15|63
15|500|0|0|3|1|4|15|64
30|500|0|0|11|2|13|15|64
15|500|0|0|10|1|11|15|65
30|500|0|0|4|2|6|15|65
15|500|0|0|9|1|10|15|66
30|500|0|0|5|2|7|15|66
15|500|0|0|4|1|5|15|67
30|500|0|0|10|2|12|15|67
15|500|0|0|6|1|7|15|68
30|500|0|0|8|2|10|15|68
15|500|0|0|6|1|7|15|69
30|500|0|0|8|2|10|15|69
15|500|0|0|10|1|11|15|70
30|500|0|0|4|2|6|15|70
15|500|0|0|9|1|10|15|71
30|500|0|0|5|2|7|15|71
15|500|0|0|8|1|9|15|72
30|500|0|0|6|2|8|15|72
15|500|0|0|8|1|9|15|73
30|500|0|0|6|2|8|15|73
15|500|0|0|10|1|11|15|74
30|500|0|0|4|2|6|15|74
15|500|0|0|7|1|8|15|75
30|500|0|0|7|2|9|15|75
15|500|0|0|7|1|8|15|76
30|500|0|0|7|2|9|15|76
15|500|0|0|10|1|11|15|77
30|500|0|0|4|2|6|15|77
15|500|0|0|6|1|7|15|78
30|500|0|0|8|2|10|15|78
15|500|0|0|2|1|3|15|79
30|500|0|0|12|2|14|15|79
15|500|0|0|8|1|9|15|80
30|500|0|0|6|2|8|15|80
15|500|0|0|8|1|9|15|81
30|500|0|0|6|2|8|15|81
15|500|0|0|6|1|7|15|82
30|500|0|0|8|2|10|15|82
15|500|0|0|7|1|8|15|83
30|500|0|0|7|2|9|15|83
15|500|0|0|7|1|8|15|84
30|500|0|0|7|2|9|15|84
15|500|0|0|7|1|8|15|85
30|500|0|0|7|2|9|15|85
15|500|0|0|9|1|10|15|86
30|500|0|0|5|2|7|15|86
15|500|0|0|9|1|10|15|87
30|500|0|0|5|2|7|15|87
15|500|0|0|6|1|7|15|88
30|500|0|0|8|2|10|15|88
15|500|0|0|9|1|10|15|89
30|500|0|0|5|2|7|15|89
15|500|0|0|6|1|7|15|90
30|500|0|0|8|2|10|15|90
15|500|0|0|9|1|10|15|91
30|500|0|0|5|2|7|15|91
15|500|0|0|7|1|8|15|92
30|500|0|0|7|2|9|15|92
15|500|0|0|7|1|8|15|93
30|500|0|0|7|2|9|15|93
15|500|0|0|7|1|8|15|94
30|500|0|0|7|2|9|15|94
15|500|0|0|6|1|7|15|95
30|500|0|0|8|2|10|15|95
15|500|0|0|10|1|11|15|96
30|500|0|0|4|2|6|15|96
15|500|0|0|7|1|8|15|97
30|500|0|0|7|2|9|15|97
15|500|0|0|4|1|5|15|98
30|500|0|0|10|2|12|15|98
15|500|0|0|6|1|7|15|99
30|500|0|0|8|2|10|15|99
15|500|0|0|9|1|10|15|100
30|500|0|0|5|2|7|15|100
15|500|0|0|8|1|9|15|101
30|500|0|0|6|2|8|15|101
15|500|0|0|9|1|10|15|102
30|500|0|0|5|2|7|15|102
15|500|0|0|4|1|5|15|103
30|500|0|0|10|2|12|15|103
15|500|0|0|7|1|8|15|104
30|500|0|0|7|2|9|15|104
15|500|0|0|9|1|10|15|105
30|500|0|0|5|2|7|15|105
15|500|0|0|8|1|9|15|106
30|500|0|0|6|2|8|15|106
15|500|0|0|8|1|9|15|107
30|500|0|0|6|2|8|15|107
15|500|0|0|9|1|10|15|108
30|500|0|0|5|2|7|15|108
15|500|0|0|6|1|7|15|109
30|500|0|0|8|2|10|15|109
15|500|0|0|10|1|11|15|110
30|500|0|0|4|2|6|15|110
15|500|0|0|6|1|7|15|111
30|500|0|0|8|2|10|15|111
15|500|0|0|6|1|7|15|112
30|500|0|0|8|2|10|15|112
15|500|0|0|8|1|9|15|113
30|500|0|0|6|2|8|15|113
15|500|0|0|9|1|10|15|114
30|500|0|0|5|2|7|15|114
15|500|0|0|9|1|10|15|115
30|500|0|0|5|2|7|15|115
15|500|0|0|10|1|11|15|116
30|500|0|0|4|2|6|15|116
15|500|0|0|6|1|7|15|117
30|500|0|0|8|2|10|15|117
15|500|0|0|7|1|8|15|118
30|500|0|0|7|2|9|15|118
15|500|0|0|5|1|6|15|119
30|500|0|0|9|2|11|15|119
15|500|0|0|10|1|11|15|120
30|500|0|0|4|2|6|15|120
15|500|0|0|3|1|4|15|121
30|500|0|0|11|2|13|15|121
15|500|0|0|6|1|7|15|122
30|500|0|0|8|2|10|15|122
15|500|0|0|10|1|11|15|123
30|500|0|0|4|2|6|15|123
15|500|0|0|4|1|5|15|124
30|500|0|0|10|2|12|15|124
15|500|0|0|5|1|6|15|125
30|500|0|0|9|2|11|15|125
15|500|0|0|7|1|8|15|126
30|500|0|0|7|2|9|15|126
15|500|0|0|8|1|9|15|127
30|500|0|0|6|2|8|15|127
15|500|0|0|8|1|9|15|128
30|500|0|0|6|2|8|15|128
15|500|0|0|8|1|9|15|129
30|500|0|0|6|2|8|15|129
15|500|0|0|4|1|5|15|130
30|500|0|0|10|2|12|15|130
15|500|0|0|10|1|11|15|131
30|500|0|0|4|2|6|15|131
15|500|0|0|8|1|9|15|132
30|500|0|0|6|2|8|15|132
15|500|0|0|8|1|9|15|133
30|500|0|0|6|2|8|15|133
15|500|0|0|6|1|7|15|134
30|500|0|0|8|2|10|15|134
15|500|0|0|8|1|9|15|135
30|500|0|0|6|2|8|15|135
15|500|0|0|6|1|7|15|136
30|500|0|0|8|2|10|15|136
15|500|0|0|9|1|10|15|137
30|500|0|0|5|2|7|15|137
15|500|0|0|7|1|8|15|138
30|500|0|0|7|2|9|15|138
15|500|0|0|8|1|9|15|139
30|500|0|0|6|2|8|15|139
15|500|0|0|4|1|5|15|140
30|500|0|0|10|2|12|15|140
15|500|0|0|9|1|10|15|141
30|500|0|0|5|2|7|15|141
15|500|0|0|5|1|6|15|142
30|500|0|0|9|2|11|15|142
15|500|0|0|4|1|5|15|143
30|500|0|0|10|2|12|15|143
15|500|0|0|8|1|9|15|144
30|500|0|0|6|2|8|15|144
15|500|0|0|6|1|7|15|145
30|500|0|0|8|2|10|15|145
15|500|0|0|9|1|10|15|146
30|500|0|0|5|2|7|15|146
15|500|0|0|9|1|10|15|147
30|500|0|0|5|2|7|15|147
15|500|0|0|9|1|10|15|148
30|500|0|0|5|2|7|15|148
15|500|0|0|6|1|7|15|149
30|500|0|0|8|2|10|15|149
15|500|0|0|7|1|8|15|150
30|500|0|0|7|2|9|15|150
15|500|0|0|6|1|7|15|151
30|500|0|0|8|2|10|15|151
15|500|0|0|7|1|8|15|152
30|500|0|0|7|2|9|15|152
15|500|0|0|8|1|9|15|153
30|500|0|0|6|2|8|15|153
15|500|0|0|10|1|11|15|154
30|500|0|0|4|2|6|15|154
15|500|0|0|8|1|9|15|155
30|500|0|0|6|2|8|15|155
15|500|0|0|4|1|5|15|156
30|500|0|0|10|2|12|15|156
15|500|0|0|4|1|5|15|157
30|500|0|0|10|2|12|15|157
15|500|0|0|7|1|8|15|158
30|500|0|0|7|2|9|15|158
15|500|0|0|6|1|7|15|159
30|500|0|0|8|2|10|15|159
15|500|0|0|7|1|8|15|160
30|500|0|0|7|2|9|15|160
15|500|0|0|6|1|7|15|161
30|500|0|0|8|2|10|15|161
15|500|0|0|10|1|11|15|162
30|500|0|0|4|2|6|15|162
15|500|0|0|7|1|8|15|163
30|500|0|0|7|2|9|15|163
15|500|0|0|8|1|9|15|164
30|500|0|0|6|2|8|15|164
15|500|0|0|9|1|10|15|165
30|500|0|0|5|2|7|15|165
15|500|0|0|7|1|8|15|166
30|500|0|0|7|2|9|15|166
15|500|0|0|8|1|9|15|167
30|500|0|0|6|2|8|15|167
15|500|0|0|7|1|8|15|168
30|500|0|0|7|2|9|15|168
15|500|0|0|4|1|5|15|169
30|500|0|0|10|2|12|15|169
15|500|0|0|8|1|9|15|170
30|500|0|0|6|2|8|15|170
15|500|0|0|7|1|8|15|171
30|500|0|0|7|2|9|15|171
15|500|0|0|9|1|10|15|172
30|500|0|0|5|2|7|15|172
15|500|0|0|10|1|11|15|173
30|500|0|0|4|2|6|15|173
15|500|0|0|5|1|6|15|174
30|500|0|0|9|2|11|15|174
15|500|0|0|5|1|6|15|175
30|500|0|0|9|2|11|15|175
15|500|0|0|8|1|9|15|176
30|500|0|0|6|2|8|15|176
15|500|0|0|8|1|9|15|177
30|500|0|0|6|2|8|15|177
15|500|0|0|10|1|11|15|178
30|500|0|0|4|2|6|15|178
15|500|0|0|6|1|7|15|179
30|500|0|0|8|2|10|15|179
15|500|0|0|8|1|9|15|180
30|500|0|0|6|2|8|15|180
15|500|0|0|4|1|5|15|181
30|500|0|0|10|2|12|15|181
15|500|0|0|8|1|9|15|182
30|500|0|0|6|2|8|15|182
15|500|0|0|7|1|8|15|183
30|500|0|0|7|2|9|15|183
15|500|0|0|4|1|5|15|184
30|500|0|0|10|2|12|15|184
15|500|0|0|9|1|10|15|185
30|500|0|0|5|2|7|15|185
15|500|0|0|3|1|4|15|186
30|500|0|0|11|2|13|15|186
15|500|0|0|5|1|6|15|187
30|500|0|0|9|2|11|15|187
15|500|0|0|3|1|4|15|188
30|500|0|0|11|2|13|15|188
15|500|0|0|6|1|7|15|189
30|500|0|0|8|2|10|15|189
15|500|0|0|9|1|10|15|190
30|500|0|0|5|2|7|15|190
15|500|0|0|8|1|9|15|191
30|500|0|0|6|2|8|15|191
15|500|0|0|6|1|7|15|192
30|500|0|0|8|2|10|15|192
15|500|0|0|7|1|8|15|193
30|500|0|0|7|2|9|15|193
15|500|0|0|4|1|5|15|194
30|500|0|0|10|2|12|15|194
15|500|0|0|4|1|5|15|195
30|500|0|0|10|2|12|15|195
15|500|0|0|7|1|8|15|196
30|500|0|0|7|2|9|15|196
15|500|0|0|6|1|7|15|197
30|500|0|0|8|2|10|15|197
15|500|0|0|9|1|10|15|198
30|500|0|0|5|2|7|15|198
15|500|0|0|4|1|5|15|199
30|500|0|0|10|2|12|15|199
15|500|0|0|9|1|10|15|200
30|500|0|0|5|2|7|15|200
15|500|0|0|4|1|5|15|201
30|500|0|0|10|2|12|15|201
15|500|0|0|7|1|8|15|202
30|500|0|0|7|2|9|15|202
15|500|0|0|9|1|10|15|203
30|500|0|0|5|2|7|15|203
15|500|0|0|7|1|8|15|204
30|500|0|0|7|2|9|15|204
15|500|0|0|8|1|9|15|205
30|500|0|0|6|2|8|15|205
15|500|0|0|9|1|10|15|206
30|500|0|0|5|2|7|15|206
15|500|0|0|10|1|11|15|207
30|500|0|0|4|2|6|15|207
15|500|0|0|10|1|11|15|208
30|500|0|0|4|2|6|15|208
15|500|0|0|6|1|7|15|209
30|500|0|0|8|2|10|15|209
15|500|0|0|5|1|6|15|210
30|500|0|0|9|2|11|15|210
15|500|0|0|7|1|8|15|211
30|500|0|0|7|2|9|15|211
15|500|0|0|3|1|4|15|212
30|500|0|0|11|2|13|15|212
15|500|0|0|5|1|6|15|213
30|500|0|0|9|2|11|15|213
15|500|0|0|6|1|7|15|214
30|500|0|0|8|2|10|15|214
15|500|0|0|3|1|4|15|215
30|500|0|0|11|2|13|15|215
15|500|0|0|10|1|11|15|216
30|500|0|0|4|2|6|15|216
15|500|0|0|8|1|9|15|217
30|500|0|0|6|2|8|15|217
15|500|0|0|7|1|8|15|218
30|500|0|0|7|2|9|15|218
15|500|0|0|4|1|5|15|219
30|500|0|0|10|2|12|15|219
15|500|0|0|8|1|9|15|220
30|500|0|0|6|2|8|15|220
15|500|0|0|6|1|7|15|221
30|500|0|0|8|2|10|15|221
15|500|0|0|8|1|9|15|222
30|500|0|0|6|2|8|15|222
15|500|0|0|7|1|8|15|223
30|500|0|0|7|2|9|15|223
15|500|0|0|6|1|7|15|224
30|500|0|0|8|2|10|15|224
15|500|0|0|5|1|6|15|225
30|500|0|0|9|2|11|15|225
15|500|0|0|9|1|10|15|226
30|500|0|0|5|2|7|15|226
15|500|0|0|6|1|7|15|227
30|500|0|0|8|2|10|15|227
15|500|0|0|7|1|8|15|228
30|500|0|0|7|2|9|15|228
15|500|0|0|6|1|7|15|229
30|500|0|0|8|2|10|15|229
15|500|0|0|7|1|8|15|230
30|500|0|0|7|2|9|15|230
15|500|0|0|9|1|10|15|231
30|500|0|0|5|2|7|15|231
15|500|0|0|7|1|8|15|232
30|500|0|0|7|2|9|15|232
15|500|0|0|10|1|11|15|233
30|500|0|0|4|2|6|15|233
15|500|0|0|8|1|9|15|234
30|500|0|0|6|2|8|15|234
15|500|0|0|9|1|10|15|235
30|500|0|0|5|2|7|15|235
15|500|0|0|7|1|8|15|236
30|500|0|0|7|2|9|15|236
15|500|0|0|4|1|5|15|237
30|500|0|0|10|2|12|15|237
15|500|0|0|10|1|11|15|238
30|500|0|0|4|2|6|15|238
15|500|0|0|6|1|7|15|239
30|500|0|0|8|2|10|15|239
15|500|0|0|6|1|7|15|240
30|500|0|0|8|2|10|15|240
15|500|0|0|6|1|7|15|241
30|500|0|0|8|2|10|15|241
15|500|0|0|7|1|8|15|242
30|500|0|0|7|2|9|15|242
15|500|0|0|8|1|9|15|243
30|500|0|0|6|2|8|15|243
15|500|0|0|10|1|11|15|244
30|500|0|0|4|2|6|15|244
15|500|0|0|10|1|11|15|245
30|500|0|0|4|2|6|15|245
15|500|0|0|7|1|8|15|246
30|500|0|0|7|2|9|15|246
15|500|0|0|9|1|10|15|247
30|500|0|0|5|2|7|15|247
15|500|0|0|8|1|9|15|248
30|500|0|0|6|2|8|15|248
15|500|0|0|8|1|9|15|249
30|500|0|0|6|2|8|15|249
15|500|0|0|7|1|8|15|250
30|500|0|0|7|2|9|15|250
15|500|0|0|9|1|10|15|251
30|500|0|0|5|2|7|15|251
15|500|0|0|4|1|5|15|252
30|500|0|0|10|2|12|15|252
15|500|0|0|3|1|4|15|253
30|500|0|0|11|2|13|15|253
15|500|0|0|9|1|10|15|254
30|500|0|0|5|2|7|15|254
15|500|0|0|10|1|11|15|255
30|500|0|0|4|2|6|15|255
15|500|0|0|5|1|6|15|256
30|500|0|0|9|2|11|15|256
15|500|0|0|6|1|7|15|257
30|500|0|0|8|2|10|15|257
15|500|0|0|9|1|10|15|258
30|500|0|0|5|2|7|15|258
15|500|0|0|7|1|8|15|259
30|500|0|0|7|2|9|15|259
15|500|0|0|7|1|8|15|260
30|500|0|0|7|2|9|15|260
15|500|0|0|6|1|7|15|261
30|500|0|0|8|2|10|15|261
15|500|0|0|8|1|9|15|262
30|500|0|0|6|2|8|15|262
15|500|0|0|8|1|9|15|263
30|500|0|0|6|2|8|15|263
15|500|0|0|7|1|8|15|264
30|500|0|0|7|2|9|15|264
15|500|0|0|7|1|8|15|265
30|500|0|0|7|2|9|15|265
15|500|0|0|10|1|11|15|266
30|500|0|0|4|2|6|15|266
15|500|0|0|6|1|7|15|267
30|500|0|0|8|2|10|15|267
15|500|0|0|6|1|7|15|268
30|500|0|0|8|2|10|15|268
15|500|0|0|6|1|7|15|269
30|500|0|0|8|2|10|15|269
15|500|0|0|8|1|9|15|270
30|500|0|0|6|2|8|15|270
15|500|0|0|7|1|8|15|271
30|500|0|0|7|2|9|15|271
15|500|0|0|4|1|5|15|272
30|500|0|0|10|2|12|15|272
15|500|0|0|4|1|5|15|273
30|500|0|0|10|2|12|15|273
15|500|0|0|5|1|6|15|274
30|500|0|0|9|2|11|15|274
15|500|0|0|4|1|5|15|275
30|500|0|0|10|2|12|15|275
15|500|0|0|5|1|6|15|276
30|500|0|0|9|2|11|15|276
15|500|0|0|7|1|8|15|277
30|500|0|0|7|2|9|15|277
15|500|0|0|6|1|7|15|278
30|500|0|0|8|2|10|15|278
15|500|0|0|10|1|11|15|279
30|500|0|0|4|2|6|15|279
15|500|0|0|6|1|7|15|280
30|500|0|0|8|2|10|15|280
15|500|0|0|7|1|8|15|281
30|500|0|0|7|2|9|15|281
15|500|0|0|10|1|11|15|282
30|500|0|0|4|2|6|15|282
15|500|0|0|7|1|8|15|283
30|500|0|0|7|2|9|15|283
15|500|0|0|7|1|8|15|284
30|500|0|0|7|2|9|15|284
15|500|0|0|10|1|11|15|285
30|500|0|0|4|2|6|15|285
15|500|0|0|8|1|9|15|286
30|500|0|0|6|2|8|15|286
15|500|0|0|8|1|9|15|287
30|500|0|0|6|2|8|15|287
15|500|0|0|10|1|11|15|288
30|500|0|0|4|2|6|15|288
15|500|0|0|6|1|7|15|289
30|500|0|0|8|2|10|15|289
15|500|0|0|6|1|7|15|290
30|500|0|0|8|2|10|15|290
15|500|0|0|8|1|9|15|291
30|500|0|0|6|2|8|15|291
15|500|0|0|8|1|9|15|292
30|500|0|0|6|2|8|15|292
15|500|0|0|5|1|6|15|293
30|500|0|0|9|2|11|15|293
15|500|0|0|10|1|11|15|294
30|500|0|0|4|2|6|15|294
15|500|0|0|9|1|10|15|295
30|500|0|0|5|2|7|15|295
15|500|0|0|3|1|4|15|296
30|500|0|0|6|2|8|15|296
15|500|0|0|2|1|3|15|297
30|500|0|0|12|2|14|15|297
15|500|0|0|3|1|4|15|298
30|500|0|0|11|2|13|15|298
15|500|0|0|7|1|8|15|299
30|500|0|0|7|2|9|15|299
15|500|0|0|3|1|4|15|300
30|500|0|0|6|2|8|15|300
15|500|0|0|7|1|8|15|301
30|500|0|0|7|2|9|15|301
15|500|0|0|4|1|5|15|302
30|500|0|0|10|2|12|15|302
15|500|0|0|5|1|6|15|303
30|500|0|0|9|2|11|15|303
15|500|0|0|8|1|9|15|304
30|500|0|0|6|2|8|15|304
15|500|0|0|8|1|9|15|305
30|500|0|0|6|2|8|15|305
15|500|0|0|8|1|9|15|306
30|500|0|0|6|2|8|15|306
15|500|0|0|9|1|10|15|307
30|500|0|0|5|2|7|15|307
15|500|0|0|9|1|10|15|308
30|500|0|0|5|2|7|15|308
15|500|0|0|8|1|9|15|309
30|500|0|0|6|2|8|15|309
15|500|0|0|7|1|8|15|310
30|500|0|0|7|2|9|15|310
15|500|0|0|10|1|11|15|311
30|500|0|0|4|2|6|15|311
15|500|0|0|9|1|10|15|312
30|500|0|0|5|2|7|15|312
15|500|0|0|10|1|11|15|313
30|500|0|0|4|2|6|15|313
15|500|0|0|5|1|6|15|314
30|500|0|0|9|2|11|15|314
15|500|0|0|5|1|6|15|315
30|500|0|0|9|2|11|15|315
15|500|0|0|4|1|5|15|316
30|500|0|0|10|2|12|15|316
15|500|0|0|7|1|8|15|317
30|500|0|0|7|2|9|15|317
15|500|0|0|5|1|6|15|318
30|500|0|0|9|2|11|15|318
15|500|0|0|8|1|9|15|319
30|500|0|0|6|2|8|15|319
15|500|0|0|7|1|8|15|320
30|500|0|0|7|2|9|15|320
15|500|0|0|9|1|10|15|321
30|500|0|0|5|2|7|15|321
15|500|0|0|7|1|8|15|322
30|500|0|0|7|2|9|15|322
15|500|0|0|8|1|9|15|323
30|500|0|0|6|2|8|15|323
15|500|0|0|6|1|7|15|324
30|500|0|0|8|2|10|15|324
15|500|0|0|6|1|7|15|325
30|500|0|0|8|2|10|15|325
15|500|0|0|6|1|7|15|326
30|500|0|0|8|2|10|15|326
15|500|0|0|9|1|10|15|327
30|500|0|0|5|2|7|15|327
15|500|0|0|8|1|9|15|328
30|500|0|0|6|2|8|15|328
15|500|0|0|7|1|8|15|329
30|500|0|0|7|2|9|15|329
15|500|0|0|10|1|11|15|330
30|500|0|0|4|2|6|15|330
15|500|0|0|7|1|8|15|331
30|500|0|0|7|2|9|15|331
15|500|0|0|7|1|8|15|332
30|500|0|0|7|2|9|15|332
15|500|0|0|9|1|10|15|333
30|500|0|0|5|2|7|15|333
15|500|0|0|3|1|4|15|334
30|500|0|0|11|2|13|15|334
15|500|0|0|7|1|8|15|335
30|500|0|0|7|2|9|15|335
15|500|0|0|6|1|7|15|336
30|500|0|0|8|2|10|15|336
15|500|0|0|8|1|9|15|337
30|500|0|0|6|2|8|15|337
15|500|0|0|6|1|7|15|338
30|500|0|0|8|2|10|15|338
15|500|0|0|9|1|10|15|339
30|500|0|0|5|2|7|15|339
15|500|0|0|6|1|7|15|340
30|500|0|0|8|2|10|15|340
15|500|0|0|10|1|11|15|341
30|500|0|0|4|2|6|15|341
15|500|0|0|5|1|6|15|342
30|500|0|0|9|2|11|15|342
15|500|0|0|8|1|9|15|343
30|500|0|0|6|2|8|15|343
15|500|0|0|7|1|8|15|344
30|500|0|0|7|2|9|15|344
15|500|0|0|4|1|5|15|345
30|500|0|0|10|2|12|15|345
15|500|0|0|9|1|10|15|346
30|500|0|0|5|2|7|15|346
15|500|0|0|8|1|9|15|347
30|500|0|0|6|2|8|15|347
15|500|0|0|8|1|9|15|348
30|500|0|0|6|2|8|15|348
15|500|0|0|9|1|10|15|349
30|500|0|0|5|2|7|15|349
15|500|0|0|8|1|9|15|350
30|500|0|0|6|2|8|15|350
15|500|0|0|8|1|9|15|351
30|500|0|0|6|2|8|15|351
15|500|0|0|7|1|8|15|352
30|500|0|0|7|2|9|15|352
15|500|0|0|7|1|8|15|353
30|500|0|0|7|2|9|15|353
15|500|0|0|8|1|9|15|354
30|500|0|0|6|2|8|15|354
15|500|0|0|6|1|7|15|355
30|500|0|0|8|2|10|15|355
15|500|0|0|8|1|9|15|356
30|500|0|0|6|2|8|15|356
15|500|0|0|8|1|9|15|357
30|500|0|0|6|2|8|15|357
15|500|0|0|7|1|8|15|358
30|500|0|0|7|2|9|15|358
15|500|0|0|5|1|6|15|359
30|500|0|0|9|2|11|15|359
15|500|0|0|6|1|7|15|360
30|500|0|0|8|2|10|15|360
15|500|0|0|5|1|6|15|361
30|500|0|0|9|2|11|15|361
15|500|0|0|5|1|6|15|362
30|500|0|0|9|2|11|15|362
15|500|0|0|9|1|10|15|363
30|500|0|0|5|2|7|15|363
15|500|0|0|9|1|10|15|364
30|500|0|0|5|2|7|15|364
15|500|0|0|6|1|7|15|365
30|500|0|0|8|2|10|15|365
15|500|0|0|7|1|8|15|366
30|500|0|0|7|2|9|15|366
15|500|0|0|8|1|9|15|367
30|500|0|0|6|2|8|15|367
15|500|0|0|10|1|11|15|368
30|500|0|0|4|2|6|15|368
15|500|0|0|6|1|7|15|369
30|500|0|0|8|2|10|15|369
15|500|0|0|4|1|5|15|370
30|500|0|0|10|2|12|15|370
15|500|0|0|7|1|8|15|371
30|500|0|0|7|2|9|15|371
15|500|0|0|4|1|5|15|372
30|500|0|0|10|2|12|15|372
15|500|0|0|5|1|6|15|373
30|500|0|0|9|2|11|15|373
15|500|0|0|8|1|9|15|374
30|500|0|0|6|2|8|15|374
15|500|0|0|9|1|10|15|375
30|500|0|0|5|2|7|15|375
15|500|0|0|6|1|7|15|376
30|500|0|0|8|2|10|15|376
15|500|0|0|8|1|9|15|377
30|500|0|0|6|2|8|15|377
15|500|0|0|7|1|8|15|378
30|500|0|0|7|2|9|15|378
15|500|0|0|5|1|6|15|379
30|500|0|0|9|2|11|15|379
15|500|0|0|7|1|8|15|380
30|500|0|0|7|2|9|15|380
15|500|0|0|7|1|8|15|381
30|500|0|0|7|2|9|15|381
15|500|0|0|6|1|7|15|382
30|500|0|0|8|2|10|15|382
15|500|0|0|8|1|9|15|383
30|500|0|0|6|2|8|15|383
15|500|0|0|8|1|9|15|384
30|500|0|0|6|2|8|15|384
15|500|0|0|8|1|9|15|385
30|500|0|0|6|2|8|15|385
15|500|0|0|8|1|9|15|386
30|500|0|0|6|2|8|15|386
15|500|0|0|3|1|4|15|387
30|500|0|0|11|2|13|15|387
